ID;Lat;Lon;Alt;Vel;Ax;Ay;Az;Mx;My;Mz
165;47.47313515;19.0633480666667;110.556;7.505;0.565;0.01;1.935;-11.68;4.16;-28.96
166;47.47313515;19.0633480666667;110.556;7.505;0.565;0.01;1.935;-11.68;4.16;-28.96
167;47.4731446166667;19.0633466833333;110.614;7.505;0.565;0.01;1.935;-11.68;4.16;-28.96
168;47.4731446166667;19.0633466833333;110.614;7.647;0.565;0.01;1.935;-11.68;4.16;-28.96
169;47.4731492333333;19.0633449;110.598;7.647;0.565;0.01;1.935;-11.68;4.16;-28.96
170;47.47315365;19.0633424666667;110.592;7.647;0.565;0.01;1.935;-11.68;4.16;-28.96
171;47.4731582;19.0633391666667;110.563;7.647;0.565;0.01;1.935;-11.68;4.16;-28.96
172;47.4731619333333;19.0633350666667;110.546;7.204;0.565;0.01;1.935;-11.68;4.16;-28.96
173;47.4731685;19.06332595;110.541;7.204;0.565;0.01;1.935;-11.68;4.16;-28.96
174;47.4731710333333;19.0633205833333;110.525;7.204;0.565;0.01;1.935;-11.68;4.16;-28.96
175;47.4731710333333;19.0633205833333;110.525;7.204;0.565;0.01;1.935;-11.68;4.16;-28.96
176;47.4731728166667;19.0633147833333;110.563;7.124;0.565;0.01;1.935;-11.68;4.16;-28.96
177;47.4731754666667;19.0633020666667;110.611;7.124;0.565;0.01;1.935;-11.68;4.16;-28.96
178;47.4731754666667;19.0633020666667;110.611;7.124;0.565;0.01;1.935;-11.68;4.16;-28.96
179;47.4731760666667;19.0632953;110.627;7.124;0.565;0.01;1.935;-11.68;4.16;-28.96
180;47.4731760666667;19.0632886666667;110.638;7.11;0.565;0.01;1.935;-11.68;4.16;-28.96
181;47.4731741666667;19.0632755666667;110.641;7.11;0.565;0.01;1.935;-11.68;4.16;-28.96
182;47.4731741666667;19.0632755666667;110.641;7.11;0.565;0.01;1.935;-11.68;4.16;-28.96
183;47.4731701166667;19.06326365;110.679;7.11;0.565;0.01;1.935;-11.68;4.16;-28.96
184;47.4731701166667;19.06326365;110.679;7.361;0.565;0.01;1.935;-11.68;4.16;-28.96
185;47.4731676833333;19.0632578;110.666;7.361;0.565;0.01;1.935;-11.68;4.16;-28.96
186;47.4731644166667;19.0632528333333;110.672;7.361;0.565;0.01;1.935;-11.68;4.16;-28.96
